MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
-0.8746788,1.0,3.4508586,2.5266726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.06346782,-0.5103786,-0.37266275,-1.17492,1.0,1.0,1.0,1.0,1.0,0.06559648,-0.68659216,-0.23245913,1.0,1.0,1.0,1.0,1.0,0.46247983,1.0,-0.2924307,-0.273551,0.07677946,1.0,-2.2389057,1.0,1.0,1.3363557,-0.7880392,-0.10767507,0.32230547,1.0962518,-0.24520789,-1.0249064,-0.75512093,0.17319351,-0.20888013,-0.7695909,0.34379444,1.0,2.1735432,1.0,1.0,0.19998045,1.0,0.3117421,0.26410654,1.0,1.0,1.0,0.926199,0.22894116,-0.35926676,-0.10777999,-0.2806061,-0.05763949,1.0,1.0,1.0,-0.092567734,-0.46286544,1.6649803,1.0,1.0,215000.0
-0.8746788,2.0,0.51548785,0.16456568,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,-0.7819498,0.38832265,-0.3395781,-1.126824,2.0,1.0,2.0,2.0,2.0,-0.5706611,-0.68659216,-0.23245913,1.0,1.0,2.0,2.0,2.0,0.06975024,2.0,0.5712625,-0.6617669,-0.3964935,1.0,-1.1957657,1.0,1.0,-0.6949402,-0.7880392,-0.10767507,-1.2294081,-0.82022035,-0.24520789,-1.0249064,-0.75512093,-1.0408231,-0.20888013,-0.7695909,-0.92508805,1.0,-0.9337477,2.0,1.0,0.20219839,2.0,-1.0116513,1.2112173,1.0,1.0,2.0,0.3694986,-0.7081373,-0.35926676,-0.10777999,1.8612485,-0.05763949,1.0,2.0,1.0,-0.092567734,-0.0935005,1.6649803,1.0,1.0,105000.0
-0.8746788,1.0,0.5636087,0.47465962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.06346782,0.38832265,-0.43883207,-1.2711116,1.0,1.0,3.0,3.0,3.0,0.042873003,-0.68659216,-0.23245913,1.0,1.0,2.0,2.0,3.0,1.1147325,1.0,-0.2924307,-0.3530104,0.67195606,1.0,-1.1957657,1.0,1.0,0.46236393,-0.7880392,-0.10767507,-0.34533972,-0.82022035,-0.24520789,-1.0249064,1.2353632,0.17319351,-0.20888013,0.7443638,-0.29064682,1.0,-0.9337477,2.0,1.0,0.19554457,2.0,-1.0116513,-0.74864554,1.0,1.0,2.0,2.381573,-0.16402721,-0.35926676,-0.10777999,-0.2806061,-0.05763949,1.0,1.0,2.0,25.922882,-0.0935005,1.6649803,1.0,1.0,172000.0
-0.8746788,1.0,1.1410587,0.11040182,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6550142,-0.5103786,-0.10798553,-0.790153,1.0,1.0,1.0,4.0,2.0,-0.5706611,1.0521133,-0.23245913,1.0,1.0,2.0,2.0,3.0,1.4408588,1.0,-0.2924307,1.097691,2.538755,1.0,0.89051443,1.0,1.0,2.5497878,-0.7880392,-0.10767507,1.2492502,1.0962518,-0.24520789,0.792954,1.2353632,0.17319351,-0.20888013,2.2583184,0.97823566,1.0,2.1735432,3.0,1.0,0.21772395,1.0,0.3117421,0.23597455,1.0,1.0,2.0,-0.7439022,-0.7081373,-0.35926676,-0.10777999,-0.2806061,-0.05763949,1.0,1.0,1.0,-0.092567734,-0.8322304,1.6649803,1.0,1.0,244000.0
0.065133646,1.0,0.22676288,0.42342672,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,-0.7819498,-0.5103786,0.8514694,0.65272284,2.0,1.0,2.0,2.0,2.0,-0.5706611,-0.68659216,-0.23245913,2.0,2.0,2.0,2.0,4.0,0.8115728,1.0,-0.2924307,-0.9637126,-0.2865412,1.0,-0.15262565,1.0,1.0,-0.60941195,0.85090053,-0.10767507,0.2671788,-0.82022035,-0.24520789,0.792954,1.2353632,0.17319351,-0.20888013,-0.7695909,-0.29064682,1.0,0.6198978,3.0,1.0,0.28204414,1.0,0.3117421,0.048427857,1.0,1.0,2.0,0.94210476,-0.19425555,-0.35926676,-0.10777999,-0.2806061,-0.05763949,1.0,2.0,1.0,-0.092567734,-1.2015953,1.6649803,1.0,1.0,189900.0
0.065133646,1.0,0.4192462,-0.02817325,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,-0.06346782,0.38832265,0.8845541,0.65272284,2.0,1.0,2.0,2.0,3.0,-0.4570437,-0.68659216,-0.23245913,2.0,1.0,2.0,2.0,4.0,0.37750325,1.0,-0.2924307,-0.5391724,-0.29132172,1.0,0.89051443,1.0,1.0,-0.6147575,0.7971265,-0.10767507,0.2161356,-0.82022035,-0.24520789,0.792954,1.2353632,0.17319351,-0.20888013,0.7443638,0.34379444,1.0,0.6198978,1.0,1.0,0.2842621,1.0,0.3117421,-0.007836147,1.0,1.0,2.0,2.1191285,-0.16402721,-0.35926676,-0.10777999,-0.2806061,-0.05763949,1.0,1.0,1.0,-0.092567734,-0.0935005,1.6649803,1.0,1.0,195500.0
1.4748523,1.0,-1.3612245,-0.621162,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.3734962,-0.5103786,0.98380804,0.7970104,2.0,1.0,4.0,5.0,2.0,-0.5706611,1.0521133,-0.23245913,2.0,2.0,2.0,3.0,4.0,0.40965655,1.0,-0.2924307,0.36439443,0.69346845,1.0,0.89051443,1.0,1.0,0.48641875,-0.7880392,-0.10767507,-0.32696417,1.0962518,-0.24520789,0.792954,-0.75512093,-1.0408231,-0.20888013,0.7443638,-0.29064682,1.0,-0.9337477,2.0,1.0,0.2909159,1.0,0.3117421,0.5172946,1.0,1.0,2.0,-0.7439022,-0.7081373,2.330512,-0.10777999,-0.2806061,-0.05763949,1.0,1.0,1.0,-0.092567734,-0.8322304,1.6649803,1.0,1.0,213500.0
1.4748523,1.0,-1.2649828,-0.61119676,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.3734962,-0.5103786,0.6860461,0.3641477,2.0,1.0,5.0,6.0,2.0,-0.5706611,1.0521133,-0.23245913,2.0,2.0,2.0,2.0,3.0,-0.40106595,1.0,-0.2924307,1.0341235,0.55483294,1.0,0.89051443,1.0,1.0,0.33139881,-0.7880392,-0.10767507,-0.4453844,-0.82022035,-0.24520789,0.792954,-0.75512093,-1.0408231,-0.20888013,0.7443638,-0.92508805,1.0,-0.9337477,2.0,1.0,0.27095446,3.0,0.3117421,0.16095588,1.0,1.0,2.0,-0.7439022,0.5312245,-0.35926676,-0.10777999,2.2896194,-0.05763949,1.0,1.0,1.0,-0.092567734,-1.9403253,1.6649803,1.0,1.0,191500.0
1.4748523,1.0,-1.4574662,-0.5661775,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.3734962,-0.5103786,0.78530014,0.55653113,2.0,1.0,4.0,5.0,2.0,-0.5706611,1.0521133,-0.23245913,2.0,2.0,2.0,2.0,4.0,1.7049752,1.0,-0.2924307,-0.33257797,1.3077673,1.0,0.89051443,1.0,1.0,1.2294455,-0.7880392,-0.10767507,0.24063633,1.0962518,-0.24520789,0.792954,-0.75512093,-1.0408231,-0.20888013,0.7443638,-0.92508805,1.0,0.6198978,3.0,1.0,0.27760828,3.0,0.3117421,0.6391999,1.0,1.0,2.0,1.1409264,1.5892162,-0.35926676,-0.10777999,-0.2806061,-0.05763949,1.0,1.0,1.0,-0.092567734,-1.2015953,1.6649803,1.0,1.0,236500.0
0.065133646,1.0,-0.44692874,-0.31868848,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.6550142,-0.5103786,0.9176387,0.7008187,2.0,1.0,2.0,2.0,2.0,-0.5706611,-0.68659216,-0.23245913,2.0,1.0,2.0,2.0,5.0,-1.0050887,1.0,-0.2924307,0.9819074,-0.12878354,1.0,-0.15262565,1.0,1.0,-0.34213617,1.0262507,-0.10767507,0.62448126,-0.82022035,-0.24520789,0.792954,1.2353632,0.17319351,-0.20888013,0.7443638,0.34379444,1.0,0.6198978,3.0,1.0,0.28648004,1.0,0.3117421,-0.13911882,1.0,1.0,2.0,0.3694986,0.19871283,-0.35926676,-0.10777999,-0.2806061,-0.05763949,1.0,1.0,1.0,-0.092567734,-0.0935005,1.6649803,1.0,1.0,189000.0
0.065133646,1.0,0.27488372,-0.025594017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,-0.06346782,-0.5103786,0.7191308,0.4603394,2.0,1.0,5.0,6.0,2.0,-0.5706611,-0.68659216,-0.23245913,2.0,2.0,2.0,2.0,5.0,-1.0050887,1.0,-0.2924307,0.45747542,-0.6809353,1.0,-0.15262565,1.0,1.0,-1.050417,1.2974589,-0.10767507,0.32026374,-0.82022035,-0.24520789,0.792954,1.2353632,0.17319351,-0.20888013,-0.7695909,0.34379444,1.0,0.6198978,3.0,1.0,0.2731724,1.0,0.3117421,-0.14849617,1.0,1.0,2.0,0.50469726,0.56145287,-0.35926676,-0.10777999,-0.2806061,-0.05763949,1.0,1.0,1.0,-0.092567734,-0.8322304,1.6649803,1.0,1.0,175900.0
